a,count(c)
"{""name"":ORD}",90
"{""name"":LAX}",41
"{""name"":DTW}",41
"{""name"":IAH}",39
"{""name"":AZO}",38
"{""name"":SFO}",36
"{""name"":DEN}",35
"{""name"":MSP}",26
"{""name"":IAD}",19
"{""name"":EWR}",18
"{""name"":BNA}",12
"{""name"":ABQ}",11
"{""name"":MCO}",9
"{""name"":CRP}",9
"{""name"":BOS}",8
"{""name"":FAT}",8
"{""name"":MOT}",8
"{""name"":PDX}",7
"{""name"":SMF}",7
"{""name"":HNL}",7
"{""name"":SAN}",7
"{""name"":SEA}",6
"{""name"":ATL}",6
"{""name"":LGA}",6
"{""name"":DFW}",5
"{""name"":SLC}",5
"{""name"":LAS}",5
"{""name"":PHX}",5
"{""name"":FSD}",5
"{""name"":GRR}",5
"{""name"":DAY}",5
"{""name"":BHM}",4
"{""name"":CVG}",4
"{""name"":TUS}",4
"{""name"":DLH}",4
"{""name"":PIT}",4
"{""name"":OMA}",4
"{""name"":SNA}",3
"{""name"":CMH}",3
"{""name"":SJC}",3
"{""name"":MIA}",3
"{""name"":SBN}",3
"{""name"":TPA}",3
"{""name"":AUS}",3
"{""name"":FLL}",2
"{""name"":MSN}",2
"{""name"":ROC}",2
"{""name"":PBI}",2
"{""name"":ORF}",2
"{""name"":BWI}",2
"{""name"":FAR}",2
"{""name"":SAT}",1
"{""name"":KOA}",1
"{""name"":RIC}",1
"{""name"":IND}",1
"{""name"":MCI}",1
"{""name"":BIL}",1
"{""name"":CLT}",1
"{""name"":DCA}",1
"{""name"":MOB}",1
"{""name"":PSP}",1
"{""name"":RSW}",1
"{""name"":BDL}",1
"{""name"":MEM}",1
"{""name"":MFE}",1
"{""name"":MSY}",1
"{""name"":BZN}",1
"{""name"":OKC}",1
"{""name"":TUL}",1
"{""name"":SGF}",1
"{""name"":RNO}",1